2024-10-30 20:48:50.024211
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-30 22:27:27.053955
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-30 23:28:56.550970
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
CricketX	468	156	300	12	42	53.01	0	450
CricketX	468	156	300	12	42	73.88	0	725
CricketX	468	156	300	12	42	66.69	0	441
CricketX	468	156	300	12	42	65.12	0	417
CricketX	468	156	300	12	42	63.56	0	824
CricketX	468	156	300	12	42	59.38	0	243
CricketX	468	156	300	12	42	49.5	0	200
CricketX	468	156	300	12	42	68.47	0	316
CricketX	468	156	300	12	42	63.73	0	305
CricketX	468	156	300	12	42	67.3	0	847
CricketX	468	156	300	12	42	67.08	0	273
CricketX	468	156	300	12	42	70.26	0	620
CricketX	468	156	300	12	42	58.93	0	393
CricketX	468	156	300	12	42	54.46	0	335
CricketX	468	156	300	12	42	67.91	0	546
CricketX	468	156	300	12	42	71.88	0	799
CricketX	468	156	300	12	42	64.73	0	211
CricketX	468	156	300	12	42	66.69	0	701
CricketX	468	156	300	12	42	63.9	0	244
CricketX	468	156	300	12	42	60.55	0	468
CricketX	468	156	300	12	42	60.32	0	475
CricketX	468	156	300	12	42	65.35	0	517
CricketX	468	156	300	12	42	67.86	0	609
CricketX	468	156	300	12	42	66.35	0	294
CricketX	468	156	300	12	42	59.15	0	189
CricketX	468	156	300	12	42	56.19	0	838
CricketX	468	156	300	12	42	65.68	0	674
CricketX	468	156	300	12	42	55.41	0	420
CricketX	468	156	300	12	42	64.51	0	461
CricketX	468	156	300	12	42	67.3	0	309
CricketX	468	156	300	12	42	61.22	0	466
CricketX	468	156	300	12	42	68.36	0	659
CricketX	468	156	300	12	42	57.2	0	272
CricketX	468	156	300	12	42	66.35	0	502
CricketX	468	156	300	12	42	58.43	0	358
CricketX	468	156	300	12	42	66.91	0	460
CricketX	468	156	300	12	42	66.74	0	537
CricketX	468	156	300	12	42	66.13	0	434
CricketX	468	156	300	12	42	59.65	0	125
CricketX	468	156	300	12	42	64.12	0	754
CricketX	468	156	300	12	42	68.69	0	338
CricketX	468	156	300	12	42	60.77	0	74
CricketX	468	156	300	12	42	61.33	0	483
CricketX	468	156	300	12	42	71.26	0	957
CricketX	468	156	300	12	42	66.69	0	412
CricketX	468	156	300	12	42	69.25	0	494
CricketX	468	156	300	12	42	55.41	0	237
CricketX	468	156	300	12	42	68.08	0	798
CricketX	468	156	300	12	42	63.5	0	267
CricketX	468	156	300	12	42	68.64	0	474
