2024-10-30 23:09:30.596617
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
CricketX	468	156	300	12	42	60.83	0	988
CricketX	468	156	300	12	42	58.93	0	174
CricketX	468	156	300	12	42	64.96	0	642
CricketX	468	156	300	12	42	56.08	0	565
CricketX	468	156	300	12	42	50.89	0	803
CricketX	468	156	300	12	42	55.47	0	398
CricketX	468	156	300	12	42	53.4	0	597
CricketX	468	156	300	12	42	52.46	0	945
CricketX	468	156	300	12	42	58.31	0	220
CricketX	468	156	300	12	42	56.31	0	532
CricketX	468	156	300	12	42	44.53	0	408
CricketX	468	156	300	12	42	62.0	0	530
CricketX	468	156	300	12	42	48.16	0	408
CricketX	468	156	300	12	42	53.07	0	710
CricketX	468	156	300	12	42	58.43	0	684
CricketX	468	156	300	12	42	53.07	0	542
CricketX	468	156	300	12	42	61.77	0	468
CricketX	468	156	300	12	42	58.82	0	476
CricketX	468	156	300	12	42	54.3	0	315
CricketX	468	156	300	12	42	56.64	0	395
CricketX	468	156	300	12	42	58.59	0	491
CricketX	468	156	300	12	42	53.85	0	871
CricketX	468	156	300	12	42	49.27	0	597
CricketX	468	156	300	12	42	50.33	0	437
CricketX	468	156	300	12	42	49.55	0	234
CricketX	468	156	300	12	42	50.5	0	436
CricketX	468	156	300	12	42	49.5	0	717
CricketX	468	156	300	12	42	57.48	0	323
CricketX	468	156	300	12	42	53.46	0	426
CricketX	468	156	300	12	42	53.07	0	616
CricketX	468	156	300	12	42	51.79	0	675
CricketX	468	156	300	12	42	44.87	0	117
CricketX	468	156	300	12	42	53.13	0	546
CricketX	468	156	300	12	42	44.42	0	296
CricketX	468	156	300	12	42	51.79	0	429
CricketX	468	156	300	12	42	61.83	0	626
CricketX	468	156	300	12	42	53.35	0	510
CricketX	468	156	300	12	42	57.2	0	944
CricketX	468	156	300	12	42	57.65	0	471
CricketX	468	156	300	12	42	52.57	0	522
CricketX	468	156	300	12	42	60.83	0	764
CricketX	468	156	300	12	42	47.94	0	372
CricketX	468	156	300	12	42	58.43	0	523
CricketX	468	156	300	12	42	62.83	0	295
CricketX	468	156	300	12	42	47.43	0	359
CricketX	468	156	300	12	42	54.02	0	982
CricketX	468	156	300	12	42	57.59	0	527
CricketX	468	156	300	12	42	47.21	0	163
CricketX	468	156	300	12	42	50.78	0	218
CricketX	468	156	300	12	42	55.19	0	235
