2024-10-30 22:43:02.460816
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-30 22:44:34.999247
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
2024-10-30 22:48:55.532497
Dataset	Train	Test	Dimension	Class	Seed	Acc_label	Acc_unlabel	Epoch_max
CricketX	468	156	300	12	42	39.17	0	364
CricketX	468	156	300	12	42	40.46	0	330
CricketX	468	156	300	12	42	40.85	0	584
CricketX	468	156	300	12	42	44.42	0	817
CricketX	468	156	300	12	42	45.65	0	439
CricketX	468	156	300	12	42	30.47	0	439
CricketX	468	156	300	12	42	27.23	0	750
CricketX	468	156	300	12	42	32.76	0	525
CricketX	468	156	300	12	42	30.25	0	447
CricketX	468	156	300	12	42	35.6	0	439
CricketX	468	156	300	12	42	32.31	0	984
CricketX	468	156	300	12	42	44.08	0	473
CricketX	468	156	300	12	42	38.67	0	727
CricketX	468	156	300	12	42	42.41	0	884
CricketX	468	156	300	12	42	38.06	0	636
CricketX	468	156	300	12	42	30.47	0	338
CricketX	468	156	300	12	42	38.11	0	906
CricketX	468	156	300	12	42	31.75	0	444
CricketX	468	156	300	12	42	23.72	0	389
CricketX	468	156	300	12	42	33.54	0	446
CricketX	468	156	300	12	42	42.02	0	821
CricketX	468	156	300	12	42	42.52	0	968
CricketX	468	156	300	12	42	30.69	0	481
CricketX	468	156	300	12	42	40.85	0	708
CricketX	468	156	300	12	42	27.85	0	441
CricketX	468	156	300	12	42	41.02	0	467
CricketX	468	156	300	12	42	37.33	0	390
CricketX	468	156	300	12	42	42.86	0	518
CricketX	468	156	300	12	42	37.11	0	517
CricketX	468	156	300	12	42	39.62	0	776
CricketX	468	156	300	12	42	35.32	0	949
CricketX	468	156	300	12	42	45.03	0	740
CricketX	468	156	300	12	42	30.86	0	263
CricketX	468	156	300	12	42	34.77	0	747
CricketX	468	156	300	12	42	22.15	0	288
CricketX	468	156	300	12	42	36.05	0	298
CricketX	468	156	300	12	42	31.98	0	356
CricketX	468	156	300	12	42	39.17	0	669
CricketX	468	156	300	12	42	40.57	0	599
CricketX	468	156	300	12	42	38.73	0	339
CricketX	468	156	300	12	42	32.31	0	167
CricketX	468	156	300	12	42	35.16	0	381
CricketX	468	156	300	12	42	42.41	0	576
CricketX	468	156	300	12	42	38.9	0	579
CricketX	468	156	300	12	42	39.17	0	629
CricketX	468	156	300	12	42	33.2	0	415
CricketX	468	156	300	12	42	30.13	0	296
CricketX	468	156	300	12	42	35.32	0	855
CricketX	468	156	300	12	42	43.47	0	384
CricketX	468	156	300	12	42	41.52	0	992
